"component","slot","metric","shadcn","shadcss","note"
"button","(root)","paddingY","8px","0px",""
"input","(root)","paddingY","4px","0px",""
"switch","switch-thumb","—","","(selector .switch-thumb not found)","skip"
"checkbox","checkbox-indicator","—","","(selector .checkbox-indicator not found)","skip"
"radio-group","radio-group-item","—","","(selector .radio-group-item not found)","skip"
"radio-group","radio-group-indicator","—","","(selector .radio-group-indicator not found)","skip"
"select","select-group","—","","(selector .select-group not found)","skip"
"select","select-value","—","","(selector .select-value not found)","skip"
"select","select-trigger","—","","(selector .select-trigger not found)","skip"
"select","select-content","—","","(selector .select-content not found)","skip"
"select","select-label","—","","(selector .select-label not found)","skip"
"select","select-item","—","","(selector .select-item not found)","skip"
"select","select-item-indicator","—","","(selector .select-item-indicator not found)","skip"
"select","select-separator","—","","(selector .select-separator not found)","skip"
"select","select-scroll-up-button","—","","(selector .select-scroll-up-button not found)","skip"
"select","select-scroll-down-button","—","","(selector .select-scroll-down-button not found)","skip"
"avatar","avatar-image","—","","(selector .avatar-image not found)","skip"
"avatar","avatar-fallback","—","","(selector .avatar-fallback not found)","skip"
"avatar","avatar-badge","—","","(selector .avatar-badge not found)","skip"
"avatar","avatar-group-count","—","","(selector .avatar-group-count not found)","skip"
"progress","progress-indicator","—","","(selector .progress-indicator not found)","skip"
"tooltip","tooltip-content","—","","(selector .tooltip-content not found)","skip"
"popover","popover-trigger","—","","(selector .popover-trigger not found)","skip"
"popover","popover-content","—","","(selector .popover-content not found)","skip"
"popover","popover-anchor","—","","(selector .popover-anchor not found)","skip"
"dialog","dialog-portal","—","","(selector .dialog-portal not found)","skip"
"dialog","dialog-overlay","—","","(selector .dialog-overlay not found)","skip"
"dialog","dialog-content","—","","(selector .dialog-content not found)","skip"
"alert-dialog","alert-dialog-trigger","—","","(selector .alert-dialog-trigger not found)","skip"
"alert-dialog","alert-dialog-portal","—","","(selector .alert-dialog-portal not found)","skip"
"alert-dialog","alert-dialog-overlay","—","","(selector .alert-dialog-overlay not found)","skip"
"alert-dialog","alert-dialog-content","—","","(selector .alert-dialog-content not found)","skip"
"alert-dialog","alert-dialog-media","—","","(selector .alert-dialog-media not found)","skip"
"sheet","sheet-trigger","—","","(selector .sheet-trigger not found)","skip"
"sheet","sheet-close","—","","(selector .sheet-close not found)","skip"
"sheet","sheet-portal","—","","(selector .sheet-portal not found)","skip"
"sheet","sheet-overlay","—","","(selector .sheet-overlay not found)","skip"
"sheet","sheet-content","—","","(selector .sheet-content not found)","skip"
"dropdown-menu","dropdown-menu-content","—","","(selector .dropdown-menu-content not found)","skip"
"dropdown-menu","dropdown-menu-group","—","","(selector .dropdown-menu-group not found)","skip"
